customer_id,full_name,email,phone,national_id,age,gender,region,marital_status,education_level,employment_status,housing_status,annual_income,savings_balance,checking_balance,loan_amount,loan_duration_months,existing_credits,past_due_count,credit_history_score,debt_ratio,loan_purpose,consent_flag,application_date,credit_risk
CUST-000022,Abdallahi Kane,abdallahi.kane22@example-bank.test,+222-22-938334,3179994318,37,F,Nouakchott,married,master,private_sector,family,42728.22,13943.87,6410.85,18623.71,60,0,1,580,0.628,business,TRUE,2025-03-21,good
CUST-000023,Zeinebou Traore,zeinebou.traore23@example-bank.test,+222-29-929577,1972082745,38,F,Brakna,single,bachelor,student,rent,12826.3,2714.67,496.12,1697.28,60,1,0,769,0.34,business,TRUE,2025-08-16,bad
CUST-000024,Khadijetou Traore,khadijetou.traore24@example-bank.test,+222-31-322768,2850423153,29,M,Nouakchott,married,bachelor,private_sector,own,31349.28,0.0,2572.61,6343.32,12,0,0,607,0.391,housing,TRUE,2025-01-12,good
CUST-000025,Noura Sy,noura.sy25@example-bank.test,+222-47-349434,3478528402,39,M,Nouakchott,single,primary,private_sector,own,15017.39,2738.17,2369.01,8812.99,36,2,0,492,0.521,health,FALSE,2025-11-19,bad
CUST-000026,Mintou Mint,mintou.mint26@example-bank.test,+222-43-665559,2853764772,63,M,Gorgol,married,bachelor,self_employed,rent,42927.86,4490.38,7732.54,5318.55,24,0,0,528,0.1,consumer_goods,TRUE,2025-06-16,bad
CUST-000027,Mintou Mahmoud,mintou.mahmoud27@example-bank.test,+222-27-781541,8203215946,65,M,Nouadhibou,divorced,bachelor,public_sector,rent,41708.0,10371.84,-1500.0,22952.24,12,0,0,756,0.746,car,TRUE,2025-04-15,bad
CUST-000028,Mariam Sow,mariam.sow28@example-bank.test,+222-27-469976,5077491631,35,F,Nouakchott,married,secondary,private_sector,family,47749.77,7540.17,4249.79,15064.7,18,1,1,608,0.474,car,TRUE,2025-01-02,bad
CUST-000029,Fatimata Salem,fatimata.salem29@example-bank.test,+222-21-953618,5334678410,33,F,Hodh El Gharbi,married,secondary,self_employed,rent,24588.61,6921.81,3301.38,23840.35,24,1,0,696,0.959,consumer_goods,TRUE,2025-05-24,good
CUST-000030,Sidi Mokhtar,sidi.mokhtar30@example-bank.test,+222-26-620129,6991626165,61,M,Nouakchott,married,bachelor,self_employed,other,15057.19,3478.86,2384.83,5563.62,24,2,2,579,0.445,education,TRUE,2025-01-27,good
CUST-000031,Zeinebou Mahmoud,zeinebou.mahmoud31@example-bank.test,+222-21-315554,2348403724,47,M,Nouakchott,married,secondary,self_employed,own,16414.53,0.0,25.96,6548.26,36,1,0,610,0.518,business,FALSE,2025-09-20,bad
CUST-000032,Yahya Traore,yahya.traore32@example-bank.test,+222-43-304886,1060334280,34,F,Brakna,single,secondary,private_sector,family,53088.75,0.0,6904.86,8682.8,18,1,0,679,0.305,health,TRUE,2025-03-31,good
CUST-000033,Noura Kane,noura.kane33@example-bank.test,+222-20-522862,9737858762,47,M,Assaba,single,secondary,private_sector,own,14305.92,1793.09,1359.14,8685.59,6,2,0,678,0.783,education,FALSE,2025-02-09,good
CUST-000034,Cheikh Mokhtar,cheikh.mokhtar34@example-bank.test,+222-24-463738,7764046904,35,F,Trarza,single,bachelor,student,rent,11241.47,0.0,2268.04,4426.95,18,2,2,504,0.622,housing,TRUE,2025-06-23,bad
CUST-000035,Zeinebou Fall,zeinebou.fall35@example-bank.test,+222-44-696912,7735299194,25,M,Hodh El Gharbi,single,secondary,public_sector,rent,58567.68,26448.53,3589.08,18433.23,12,0,0,763,0.357,business,TRUE,2025-12-15,good
CUST-000036,Yahya Diallo,yahya.diallo36@example-bank.test,+222-20-127860,4860632655,70,M,Nouakchott,divorced,master,unemployed,own,20324.05,5792.2,2587.97,7349.74,12,0,0,625,0.546,health,TRUE,2025-11-28,bad
CUST-000037,Boubacar Kane,boubacar.kane37@example-bank.test,+222-30-942935,2714606101,39,M,Brakna,married,secondary,private_sector,own,37056.56,0.0,4423.01,7296.33,24,3,0,663,0.307,car,TRUE,2025-09-15,good
CUST-000038,Yahya Salem,yahya.salem38@example-bank.test,+222-32-714994,5946004861,34,M,Tagant,widowed,bachelor,private_sector,family,45908.2,17166.79,5275.49,11072.11,12,0,1,570,0.448,health,TRUE,2025-10-12,bad
CUST-000039,Boubacar Sy,boubacar.sy39@example-bank.test,+222-39-807391,8102095046,21,F,Nouakchott,married,primary,private_sector,family,11145.2,0.0,860.72,12499.68,18,1,1,516,1.233,car,FALSE,2025-09-23,bad
CUST-000040,Zeinebou Mint,zeinebou.mint40@example-bank.test,+222-34-198728,7851359159,44,F,Assaba,divorced,secondary,private_sector,rent,39075.64,4636.64,-1500.0,13109.78,36,1,1,688,0.488,housing,TRUE,2025-01-17,bad
CUST-000041,Sidi Salem,sidi.salem41@example-bank.test,+222-30-878288,7254551980,33,F,Nouadhibou,married,secondary,private_sector,rent,21128.37,5813.88,-90.69,12499.7,24,3,0,711,0.681,education,TRUE,2025-09-10,bad
CUST-000042,Noura Mint,noura.mint42@example-bank.test,+222-28-158938,8743265656,33,F,Hodh Ech Chargui,married,secondary,retired,other,23573.44,7764.23,1410.61,19298.29,24,0,0,636,0.924,consumer_goods,TRUE,2025-01-08,good
CUST-000043,Sidi Fall,sidi.fall43@example-bank.test,+222-33-640636,3204412686,32,F,Tagant,married,bachelor,public_sector,rent,66811.91,1218.03,-295.99,5034.06,12,1,1,571,0.206,education,TRUE,2025-12-21,bad
CUST-000044,Abdallahi Ba,abdallahi.ba44@example-bank.test,+222-43-366456,8803529963,52,F,Nouakchott,married,master,private_sector,rent,60207.21,14052.86,2455.79,5236.34,48,1,0,716,0.135,housing,TRUE,2025-04-18,good
CUST-000045,Fatimata Ba,fatimata.ba45@example-bank.test,+222-43-543294,2713376191,42,F,Trarza,married,master,private_sector,rent,67383.76,0.0,3762.8,7350.35,48,1,2,554,0.172,car,TRUE,2025-07-02,good
CUST-000046,Mintou Fall,mintou.fall46@example-bank.test,+222-47-932323,7095936665,46,F,Nouakchott,single,bachelor,private_sector,own,40050.4,0.0,2310.49,10604.09,12,0,0,573,0.429,car,TRUE,2025-12-05,bad
CUST-000047,Noura Sow,noura.sow47@example-bank.test,+222-44-814719,6315185464,50,M,Brakna,married,secondary,self_employed,own,16988.02,2366.13,331.46,2214.0,6,1,1,567,0.37,education,TRUE,2025-11-16,good
CUST-000048,Cheikh Sy,cheikh.sy48@example-bank.test,+222-33-130333,9468745932,35,F,Trarza,single,secondary,unemployed,family,11257.56,2444.34,-52.43,11625.89,24,0,0,501,1.282,health,FALSE,2025-09-14,bad
CUST-000049,Mohamed Ahmed,mohamed.ahmed49@example-bank.test,+222-41-569702,6592552940,48,F,Nouakchott,single,bachelor,self_employed,own,33996.68,3350.2,-1500.0,8468.14,12,0,0,670,0.411,other,TRUE,2025-02-02,bad
CUST-000050,Boubacar Mint,boubacar.mint50@example-bank.test,+222-25-134344,5245488086,36,F,Nouakchott,married,secondary,private_sector,own,50732.26,18298.93,-1500.0,5310.16,24,0,0,684,0.336,business,TRUE,2025-09-29,good
CUST-000051,Zeinebou Mokhtar,zeinebou.mokhtar51@example-bank.test,+222-38-301524,3344761510,48,F,Inchiri,married,secondary,private_sector,own,44303.63,2390.31,8551.42,3609.16,12,0,0,633,0.297,car,TRUE,2025-01-05,bad
CUST-000052,Zeinebou Sow,zeinebou.sow52@example-bank.test,+222-23-533976,6752270186,46,F,Tagant,married,secondary,retired,own,22597.51,4648.14,1770.9,5457.65,36,1,0,704,0.415,car,TRUE,2025-08-07,bad
CUST-000053,Mintou Mokhtar,mintou.mokhtar53@example-bank.test,+222-45-655504,5056599055,52,M,Nouadhibou,single,primary,private_sector,family,34909.29,0.0,4023.93,12450.55,24,1,0,719,0.44,business,FALSE,2025-12-08,bad
CUST-000054,Mintou Salem,mintou.salem54@example-bank.test,+222-22-141904,8761473835,53,F,Gorgol,single,bachelor,self_employed,family,24847.98,1160.43,-1500.0,17353.8,24,0,0,614,0.901,other,TRUE,2025-10-06,bad
CUST-000055,Zeinebou Ba,zeinebou.ba55@example-bank.test,+222-28-303789,7888986689,34,F,Nouakchott,married,secondary,private_sector,rent,26945.36,5034.69,4395.52,12052.09,24,2,0,586,0.561,car,TRUE,2025-01-31,good
CUST-000056,Mariam Kane,mariam.kane56@example-bank.test,+222-46-637265,2476514282,42,F,Nouakchott,married,bachelor,unemployed,own,5374.18,0.0,-33.88,17430.18,24,0,0,560,1.8,car,TRUE,2025-03-16,bad
CUST-000057,Cheikh Traore,cheikh.traore57@example-bank.test,+222-42-370663,6802845517,26,F,Nouakchott,married,bachelor,public_sector,rent,19011.35,8491.78,4101.8,10270.23,36,0,0,652,0.853,car,TRUE,2025-09-06,bad
CUST-000058,Boubacar Mahmoud,boubacar.mahmoud58@example-bank.test,+222-31-357611,2640844194,44,F,Guidimakha,single,secondary,private_sector,rent,18819.84,6754.19,-820.25,23520.31,18,1,0,594,1.406,business,TRUE,2025-08-12,bad
CUST-000059,Aicha Sy,aicha.sy59@example-bank.test,+222-40-553179,2169979377,59,M,Nouadhibou,single,primary,self_employed,own,26929.84,6295.99,-62.8,12713.05,18,1,1,642,0.486,housing,TRUE,2025-12-13,bad
CUST-000060,Ahmed Mint,ahmed.mint60@example-bank.test,+222-23-473758,6123188810,26,F,Nouakchott,married,primary,self_employed,rent,17357.6,0.0,1984.97,10056.02,24,1,1,588,0.738,education,TRUE,2025-03-16,good
CUST-000061,Abdallahi Kane,abdallahi.kane61@example-bank.test,+222-30-823530,4562724023,48,M,Tagant,single,secondary,unemployed,rent,18017.08,2175.76,-258.4,6169.65,24,1,0,683,0.375,education,TRUE,2025-06-12,bad
CUST-000062,Aicha Sy,aicha.sy62@example-bank.test,+222-28-901364,2606070180,33,F,Hodh El Gharbi,married,master,unemployed,family,12953.67,3291.79,942.58,9203.88,18,1,1,668,0.806,housing,TRUE,2025-08-19,bad
CUST-000063,Mintou Sow,mintou.sow63@example-bank.test,+222-25-663786,8129063074,44,M,Inchiri,married,secondary,self_employed,rent,20115.22,4003.95,1525.55,20363.54,36,0,0,585,1.199,car,TRUE,2025-06-13,good
CUST-000064,Abdallahi Barry,abdallahi.barry64@example-bank.test,+222-34-726021,3506326640,40,M,Gorgol,married,secondary,public_sector,family,42186.27,0.0,-1264.87,8207.23,18,1,1,692,0.193,car,FALSE,2025-08-04,good
CUST-000065,Fatimata Mahmoud,fatimata.mahmoud65@example-bank.test,+222-33-716155,7558811904,33,M,Nouakchott,married,primary,self_employed,own,15913.85,0.0,515.86,11371.83,48,3,0,678,0.94,business,TRUE,2025-10-05,bad
CUST-000066,Aicha Sow,aicha.sow66@example-bank.test,+222-42-141739,7877316448,23,F,Assaba,married,master,private_sector,own,54052.7,16540.13,8767.46,4282.85,48,1,0,672,0.284,housing,TRUE,2025-11-10,good
CUST-000067,Aicha Ba,aicha.ba67@example-bank.test,+222-31-564818,2434217395,45,M,Nouadhibou,married,secondary,retired,rent,31825.88,2612.89,3989.86,4300.09,12,0,0,712,0.249,car,TRUE,2025-02-05,bad
CUST-000068,Cheikh Mahmoud,cheikh.mahmoud68@example-bank.test,+222-35-311850,3979826427,44,M,Trarza,married,secondary,private_sector,own,29595.95,3372.33,1670.39,3510.0,6,1,0,610,0.271,consumer_goods,TRUE,2025-08-14,bad
CUST-000069,Fatimata Ba,fatimata.ba69@example-bank.test,+222-31-254534,5439358050,45,F,Hodh El Gharbi,widowed,bachelor,private_sector,own,42691.59,6831.13,10221.81,4615.1,36,0,1,663,0.216,housing,TRUE,2025-04-15,good
CUST-000070,Khadijetou Salem,khadijetou.salem70@example-bank.test,+222-36-696538,7773515656,42,F,Nouakchott,single,bachelor,private_sector,rent,56500.11,14133.08,-1500.0,5070.13,48,2,0,541,0.32,education,TRUE,2025-05-23,bad
CUST-000071,Mariam Kane,mariam.kane71@example-bank.test,+222-24-336396,1690433812,32,M,Nouakchott,married,primary,public_sector,own,44343.34,6405.13,1600.56,10810.8,18,2,3,488,0.36,health,TRUE,2025-12-31,bad
CUST-000072,Aicha Sy,aicha.sy72@example-bank.test,+222-38-628748,2505879069,65,F,Gorgol,married,bachelor,private_sector,own,31402.81,1546.29,810.31,8118.45,18,0,0,663,0.428,education,TRUE,2025-03-08,good
CUST-000073,Mohamed Barry,mohamed.barry73@example-bank.test,+222-25-485083,5461207812,60,M,Nouakchott,single,primary,retired,family,14963.12,4691.56,3455.39,11319.26,24,0,3,300,0.973,housing,TRUE,2025-10-24,bad
CUST-000074,Sidi Ould,sidi.ould74@example-bank.test,+222-25-408582,4569877194,19,M,Gorgol,single,primary,private_sector,own,37390.87,8650.46,4235.46,5100.36,24,2,1,635,0.366,car,TRUE,2025-01-08,good
CUST-000075,Fatimata Diallo,fatimata.diallo75@example-bank.test,+222-21-436417,4380890268,42,F,Nouakchott,married,bachelor,public_sector,own,34616.87,15893.53,5761.39,10995.71,24,1,1,499,0.604,other,TRUE,2025-09-20,good
CUST-000076,Yahya Salem,yahya.salem76@example-bank.test,+222-44-227282,9878250092,52,M,Hodh El Gharbi,married,master,self_employed,rent,32933.27,8971.7,3736.53,12557.11,18,1,0,615,0.593,other,TRUE,2025-11-13,good
CUST-000077,Ahmed Mint,ahmed.mint77@example-bank.test,+222-37-997989,8770361263,26,F,Brakna,married,bachelor,private_sector,own,34751.05,6915.51,2133.9,6310.39,36,0,0,697,0.414,business,TRUE,2025-09-04,good
CUST-000078,Khadijetou Diallo,khadijetou.diallo78@example-bank.test,+222-23-321906,9152303969,46,F,Inchiri,single,bachelor,public_sector,own,32042.79,0.0,1191.11,2274.35,48,1,1,687,0.231,housing,TRUE,2025-04-14,good
CUST-000079,Zeinebou Kane,zeinebou.kane79@example-bank.test,+222-37-778441,8180557203,47,M,Assaba,divorced,bachelor,self_employed,family,52688.92,0.0,481.72,15132.86,48,2,0,631,0.492,education,TRUE,2025-12-11,good
CUST-000080,Cheikh Fall,cheikh.fall80@example-bank.test,+222-37-220352,9300125522,32,F,Nouakchott,married,master,self_employed,own,40480.44,9403.59,-1500.0,8119.62,36,0,0,604,0.196,car,TRUE,2025-03-02,good
CUST-000081,Mintou Kane,mintou.kane81@example-bank.test,+222-29-707840,2949634278,36,F,Nouakchott,single,primary,public_sector,family,10857.35,435.75,1259.51,3364.16,24,2,0,746,0.359,housing,TRUE,2025-09-12,good
CUST-000082,Mintou Ba,mintou.ba82@example-bank.test,+222-40-542875,9234334533,24,M,Tagant,married,bachelor,private_sector,own,52252.85,134.73,3520.66,15403.57,24,0,0,607,0.434,car,TRUE,2025-01-20,good
CUST-000083,Abdallahi Sow,abdallahi.sow83@example-bank.test,+222-20-531724,8631335537,47,M,Nouakchott,single,phd,private_sector,own,69871.32,8015.37,11896.99,8750.95,48,2,0,647,0.136,business,TRUE,2025-05-29,good
CUST-000084,Fatimata Salem,fatimata.salem84@example-bank.test,+222-47-554717,4043472790,36,M,Hodh El Gharbi,single,secondary,student,family,9844.96,1039.07,1951.26,5764.03,24,0,0,633,0.706,education,TRUE,2025-11-15,good
CUST-000085,Fatimata Mint,fatimata.mint85@example-bank.test,+222-21-428223,1173405662,38,M,Tagant,married,master,self_employed,family,43331.78,9764.91,-1365.61,7617.36,12,0,2,623,0.224,consumer_goods,TRUE,2025-09-26,good
CUST-000086,Abdallahi Traore,abdallahi.traore86@example-bank.test,+222-44-452309,8548309546,30,M,Adrar,single,primary,self_employed,other,16597.15,3633.8,407.53,18390.53,48,1,0,521,1.333,housing,TRUE,2025-08-27,good
CUST-000087,Aicha Diallo,aicha.diallo87@example-bank.test,+222-31-928845,3850927119,44,F,Adrar,widowed,secondary,public_sector,own,41940.95,2327.13,-1500.0,20912.54,12,0,0,753,0.555,consumer_goods,TRUE,2025-04-13,bad
CUST-000088,Noura Mint,noura.mint88@example-bank.test,+222-38-857076,2807001741,38,F,Nouadhibou,single,secondary,public_sector,family,38855.62,0.0,9172.23,12282.53,18,0,0,592,0.463,housing,TRUE,2025-04-04,bad
CUST-000089,Mariam Kane,mariam.kane89@example-bank.test,+222-30-729836,5174795376,26,F,Brakna,divorced,bachelor,public_sector,own,21610.31,1546.03,-234.97,8514.53,24,2,3,569,0.534,car,TRUE,2025-12-05,bad
CUST-000090,Mintou Ould,mintou.ould90@example-bank.test,+222-39-862382,4470589752,33,M,Nouakchott,married,primary,self_employed,rent,16108.97,1098.76,824.22,8253.29,12,0,0,657,0.694,other,TRUE,2025-02-26,good
CUST-000091,Zeinebou Sow,zeinebou.sow91@example-bank.test,+222-34-589648,6479357558,34,F,Nouakchott,divorced,secondary,retired,own,24573.91,3023.01,1997.62,9044.81,6,2,0,545,0.533,car,TRUE,2025-01-17,good
CUST-000092,Ahmed Fall,ahmed.fall92@example-bank.test,+222-30-816198,5959369933,36,M,Tagant,married,bachelor,self_employed,own,44439.55,2113.02,2721.39,5942.84,18,2,0,719,0.123,business,TRUE,2025-11-04,bad
CUST-000093,Abdallahi Ba,abdallahi.ba93@example-bank.test,+222-48-862609,7602144912,22,F,Trarza,married,secondary,private_sector,own,36122.23,0.0,-1500.0,11080.42,36,1,0,683,0.404,health,TRUE,2025-05-13,good
CUST-000094,Abdallahi Mokhtar,abdallahi.mokhtar94@example-bank.test,+222-48-835847,5502401391,58,F,Nouadhibou,single,bachelor,public_sector,own,30439.54,3655.29,5602.24,9288.44,24,1,2,617,0.554,consumer_goods,TRUE,2025-02-09,good
CUST-000095,Aicha Ba,aicha.ba95@example-bank.test,+222-44-697902,5924187024,41,M,Assaba,married,bachelor,private_sector,family,44992.88,0.0,-1500.0,4730.05,48,1,0,575,0.266,business,TRUE,2025-10-16,good
CUST-000096,Cheikh Mahmoud,cheikh.mahmoud96@example-bank.test,+222-33-400097,6600260302,36,F,Nouadhibou,married,secondary,self_employed,own,40369.32,22107.45,1230.54,6450.74,24,3,0,550,0.385,car,TRUE,2025-03-16,good
CUST-000097,Yahya Sow,yahya.sow97@example-bank.test,+222-25-156421,5109235098,28,M,Hodh El Gharbi,single,bachelor,private_sector,rent,18022.25,3334.53,2722.16,28369.09,60,0,0,551,1.738,business,TRUE,2025-05-23,bad
CUST-000098,Cheikh Mint,cheikh.mint98@example-bank.test,+222-23-115373,8257929671,39,M,Adrar,single,primary,self_employed,family,20706.89,5505.96,753.09,2126.1,12,0,2,580,0.286,business,TRUE,2025-06-12,good
CUST-000099,Fatimata Mokhtar,fatimata.mokhtar99@example-bank.test,+222-38-226943,3751713579,44,M,Trarza,married,master,private_sector,own,71108.7,14548.85,11468.4,19363.36,24,0,1,469,0.432,health,TRUE,2025-08-30,bad
CUST-000100,Cheikh Sow,cheikh.sow100@example-bank.test,+222-32-515258,3505477615,22,M,Nouakchott,single,secondary,public_sector,own,24875.09,581.27,5539.34,21290.51,48,2,2,683,1.032,business,TRUE,2025-11-07,bad
CUST-000101,Yahya Sy,yahya.sy101@example-bank.test,+222-26-217086,5183463731,34,M,Nouakchott,married,secondary,public_sector,rent,14879.94,979.27,1334.54,8936.99,12,2,1,774,0.599,consumer_goods,TRUE,2025-01-23,bad
CUST-000102,Fatimata Ould,fatimata.ould102@example-bank.test,+222-43-812957,5637494378,44,M,Nouakchott,married,secondary,unemployed,other,19438.03,4958.52,4668.5,8422.47,6,0,0,641,0.645,health,TRUE,2025-04-19,good
CUST-000103,Ahmed Salem,ahmed.salem103@example-bank.test,+222-23-261714,6744262367,63,M,Nouakchott,single,bachelor,self_employed,family,35579.69,13859.09,2962.99,10639.21,60,1,1,598,0.46,business,TRUE,2025-01-22,good
CUST-000104,Khadijetou Ba,khadijetou.ba104@example-bank.test,+222-39-727010,6029882827,36,F,Gorgol,married,secondary,public_sector,own,29876.63,387.58,3970.33,8722.08,36,2,1,653,0.472,other,TRUE,2025-05-07,good
CUST-000105,Noura Mokhtar,noura.mokhtar105@example-bank.test,+222-22-621827,9817704633,30,F,Brakna,single,primary,self_employed,family,14639.11,633.84,2007.88,13122.85,6,1,1,549,0.908,car,TRUE,2025-12-15,bad
CUST-000106,Mohamed Ould,mohamed.ould106@example-bank.test,+222-29-203822,4770562742,47,M,Brakna,married,bachelor,public_sector,family,26049.93,6583.1,2781.45,25069.61,36,2,1,549,1.077,housing,TRUE,2025-06-22,bad
CUST-000107,Khadijetou Diallo,khadijetou.diallo107@example-bank.test,+222-34-815080,1024094334,43,M,Guidimakha,single,secondary,private_sector,rent,21553.07,0.0,3039.15,8549.83,24,2,1,631,0.547,car,TRUE,2025-09-06,good
CUST-000108,Aicha Ba,aicha.ba108@example-bank.test,+222-42-503559,9513186703,45,M,Assaba,married,bachelor,student,family,8506.83,1101.07,746.77,9902.21,24,0,1,567,1.378,business,TRUE,2025-08-12,bad
CUST-000109,Ahmed Diallo,ahmed.diallo109@example-bank.test,+222-26-815457,9050952211,40,M,Inchiri,married,master,unemployed,own,9796.98,1094.26,775.29,17246.98,24,0,0,735,1.8,car,TRUE,2025-05-06,bad
CUST-000110,Mintou Diallo,mintou.diallo110@example-bank.test,+222-30-174937,5071629149,24,M,Nouakchott,single,secondary,student,own,10836.95,2940.29,-450.11,17436.82,12,1,1,593,1.8,car,TRUE,2025-08-31,bad
CUST-000111,Mariam Traore,mariam.traore111@example-bank.test,+222-22-303615,2367668914,49,F,Assaba,married,primary,self_employed,rent,13406.32,0.0,857.08,5274.51,18,3,0,556,0.654,housing,TRUE,2025-08-29,good
CUST-000112,Fatimata Ahmed,fatimata.ahmed112@example-bank.test,+222-42-390966,5551129546,35,F,Nouadhibou,single,bachelor,unemployed,own,9739.22,0.0,1189.68,11771.11,48,2,0,558,1.442,consumer_goods,TRUE,2025-12-27,bad
CUST-000113,Ahmed Sy,ahmed.sy113@example-bank.test,+222-40-146344,7022434810,21,F,Hodh El Gharbi,single,secondary,retired,own,17548.22,2981.37,2618.56,10768.45,24,1,1,688,0.659,business,FALSE,2025-09-29,bad
CUST-000114,Cheikh Kane,cheikh.kane114@example-bank.test,+222-37-909049,2704854077,39,M,Nouakchott,married,bachelor,self_employed,family,32357.6,2449.17,7208.44,10238.51,12,0,0,560,0.45,consumer_goods,TRUE,2025-05-14,good
CUST-000115,Mohamed Mahmoud,mohamed.mahmoud115@example-bank.test,+222-40-711568,3201599060,26,M,Nouakchott,single,primary,retired,own,20829.45,7321.46,4635.23,9896.19,12,2,1,604,0.562,consumer_goods,TRUE,2025-01-02,bad
CUST-000116,Fatimata Fall,fatimata.fall116@example-bank.test,+222-28-526232,1980868957,61,F,Trarza,single,bachelor,unemployed,family,10132.9,4043.81,453.1,11350.03,24,0,0,703,1.207,housing,TRUE,2025-03-26,good
